Id,N_victimas,Fecha,Año,Mes,Dia de semana,Hora,Lugar_del_hecho,Tipo_de_calle,Calle,Cruce,Comuna,Xy (caba),Longitud,Latitud,Participantes,Victima_x,Acusado,Rol,Victima_y,Sexo,Edad
2016-0001,1,2016-01-01,2016,1,Viernes,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,True,8.0, 98896.78238426 93532.43437792,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,19.0
2016-0002,1,2016-01-02,2016,1,Sabado,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",True,9.0, 95832.05571093 95505.41641999,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,AUTO,MASCULINO,70.0
2016-0003,1,2016-01-03,2016,1,Domingo,7,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,False,1.0, 106684.29090040 99706.57687843,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0004,1,2016-01-10,2016,1,Domingo,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,True,8.0, 99840.65224780 94269.16534422,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,CONDUCTOR,MOTO,MASCULINO,18.0
2016-0005,1,2016-01-21,2016,1,Martes,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,True,1.0, 106980.32827929 100752.16915795,-58.38718297,-34.6224663,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29.0
2016-0008,1,2016-01-24,2016,1,Domingo,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,True,8.0, 101721.59002217 93844.25656649,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,30.0
2016-0009,1,2016-01-24,2016,1,Domingo,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,True,11.0, 96545.87592078 102330.67262199,-58.50095869,-34.6082544,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0
2016-0010,1,2016-01-29,2016,1,Viernes,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",True,9.0, 95832.05571093 95505.41641999,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MOTO,MASCULINO,18.0
2016-0012,1,2016-02-08,2016,2,Lunes,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,True,1.0, 107595.35084333 101797.50052813,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MOTO,MASCULINO,22.0
2016-0013,1,2016-02-10,2016,2,Miercoles,11,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,False,1.0, 106616.41069662 100496.44662323,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,MASCULINO,16.0
2016-0015,1,2016-02-14,2016,2,Domingo,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",True,15.0, 102357.43746828 103343.52002839,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO,PEATON,PEATON,FEMENINO,16.0
